graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,beta_2,gamma_1,gamma_2
129.0,11.0,6.0,9.306942900134604,0.39019469108444893,2.0,-0.16224592169223742,-0.1192886973831751,-0.16385199427019906,-0.2130303345790239
130.0,11.0,6.5,8.995922025222018,0.3016259538178907,2.0,-0.15332078466707022,-0.10940506716447272,-0.16396127482203557,-0.23628132762514753
131.0,10.0,5.5,8.780076849600604,0.6058645603224729,2.0,-0.16286169276534562,-0.10654129560234046,-0.1583067927288184,-0.22997119679037525
132.0,10.0,6.0,8.662045130431908,0.4489370843945295,2.0,-0.15257223929511624,-0.10184782989193958,-0.1490810263132867,-0.24778467740319296
133.0,10.0,5.5,8.597263204862458,0.49199741202277203,2.0,-0.1655007620816798,-0.11251895408478066,-0.1657506882801759,-0.23452357960737638
134.0,10.0,6.0,8.386342971029103,0.36029794180741903,2.0,-0.1502019082032481,-0.0972098549477066,-0.15390914195325558,-0.25811190956130625
135.0,11.0,5.5,9.400004958231513,0.4515819417439663,2.0,-0.17374708120196417,-0.12933686551393167,-0.17260845665710522,-0.21925034815312644
136.0,11.0,6.0,8.946623596886283,0.37810333642032057,2.0,-0.17039082521096066,-0.1290371131925278,-0.17681298878261936,-0.23830026095921542
137.0,11.0,6.0,9.55348677317896,0.5686281258539038,2.0,-0.1672061547249181,-0.12162376630663586,-0.16127850754854323,-0.2120873431712833
138.0,11.0,6.5,9.217521453489246,0.4449192282035035,2.0,-0.16170336092212803,-0.1166713699130307,-0.16358009453942568,-0.2325877311027612
139.0,12.0,6.5,10.362180600431397,0.4463833624399701,2.0,-0.16406165398214412,-0.12952033404253324,-0.16460332942973352,-0.19419897028286345
140.0,12.0,7.0,9.959109515550297,0.3167140254365173,2.0,-0.16297728429238884,-0.12860197980709945,-0.1728230328372739,-0.21079417495721067
141.0,7.0,3.5,6.021938589350737,0.3187363116546733,2.0,-0.13209792682206498,-0.08444592198027827,-0.2444519700966294,-0.39102607745986717
142.0,7.0,3.5,5.925516981479564,0.2762848840779058,2.0,-0.15350464138287445,-0.08556242231894536,-0.22405873946597113,-0.3783999730567186
143.0,8.0,4.0,6.70446511270011,0.3343917953321951,2.0,-0.16166388347678343,-0.1000224941857669,-0.20175774630914903,-0.32173487560693875
144.0,7.0,4.0,6.227889753573808,0.4427592806502747,2.0,-0.1330447089731497,-0.07836320111505758,-0.19386202293758942,-0.3514650025482432
145.0,7.0,3.5,5.897685259209852,0.25033910107076784,2.0,-0.17044681181314342,-0.0904806921343165,-0.214239311811052,-0.3891209965261782
146.0,7.0,4.0,6.1713294105534,0.3914135160173844,2.0,-0.1423117779249541,-0.0777921496353643,-0.17621164094157465,-0.33687496966525027
147.0,7.0,4.5,6.593073475539678,0.7448522201550719,2.0,-0.09473342945500282,0.07232364653823542,-0.22507227015664086,0.5785542528116752
148.0,8.0,4.5,6.953954746761768,0.4895605755216232,2.0,-0.15137803834265837,-0.09168060377235758,-0.1689630285546594,-0.300484265460915
149.0,8.0,4.5,6.661367471787959,0.17868936470009233,2.0,-0.13502931882046013,-0.08037069841572195,-0.1738593955113795,-0.3347397328223302
150.0,8.0,4.0,6.673679574717361,0.29473185024562915,2.0,-0.1670077434639893,-0.10004239463444407,-0.19125656735525118,-0.3230910320207057
151.0,8.0,4.5,6.632726267170982,0.16794552550310402,2.0,-0.1413564855865069,-0.07994856082306676,-0.15740986076022775,-0.3163015867015871
152.0,8.0,5.0,7.023023979181306,0.3009306580229377,2.0,-0.13013279671650932,-0.07057123251029118,-0.1517149471954591,-0.3109766071519846
153.0,9.0,4.5,7.401189325797841,0.35582026248224324,2.0,-0.160972300633058,-0.10386641804206219,-0.1777887943069305,-0.2849933614394613
154.0,9.0,5.0,7.39977157325618,0.2057539286457121,2.0,-0.1480887094033612,-0.09112535608352608,-0.1541498390265361,-0.2845570531653816
155.0,9.0,5.5,7.676347766820843,0.2086825417098587,2.0,-0.18115197555952103,-0.11954652653951485,0.793440522062187,0.8961700397539837
156.0,9.0,4.5,7.455462009292709,0.3782756215677271,2.0,-0.17162755183044295,-0.11027119447954321,-0.18209188637307835,-0.2764196860633126
157.0,8.0,4.5,6.871024287960871,0.2978728276892147,2.0,-0.14760814486692095,-0.08486451781590862,-0.16883533674040538,-0.29627201553761306
158.0,8.0,5.0,7.160125565110388,0.4253194158207688,2.0,-0.1316401708321236,-0.07791800464488031,-0.1515912165599084,-0.30001904567223225
159.0,9.0,5.0,7.688404868380401,0.370624792218766,2.0,-0.15799320573055053,-0.09797464234706629,-0.15950215454119154,-0.26313937091292294
160.0,8.0,4.5,6.686534525596831,0.2155405654558258,2.0,-0.14216082146347267,-0.08280155496257749,-0.16465203994133257,-0.31838007959542236
161.0,9.0,5.0,7.296139475583866,0.2642807489008036,2.0,-0.14302240619175793,-0.09078800817030463,-0.16235144958987788,-0.3003612422285541
162.0,8.0,4.5,7.1685831187865166,0.4428793245701148,2.0,-0.15999698220580838,-0.08970772459868498,-0.17408494679895903,-0.2936009242867814
163.0,8.0,5.0,7.346144574641487,0.6031855825951404,2.0,-0.1455070509735553,-0.08507692227870965,-0.15098478626484055,-0.2798045259433623
164.0,9.0,5.5,7.72274675992491,0.2672267053841656,2.0,-0.13757959449692514,-0.08303945395295885,-0.143690329315341,-0.279820544872533
165.0,9.0,5.0,7.814620838835064,0.18357523291718544,2.0,-0.15561627996096614,-0.09065302157673841,-0.15785598656651995,-0.261744213719743
166.0,9.0,5.5,8.12284213731669,0.5009095064910245,2.0,-0.15068191055299132,-0.09373607112386108,-0.14467274607110026,-0.2511729835178218
167.0,9.0,6.0,8.279484802189579,0.6477672879405532,2.0,-0.13941639970535952,-0.0854872059769599,-0.13640991280415432,-0.2632484729014
168.0,9.0,4.5,7.618682680189223,0.3687180093096576,2.0,-0.17682181426753965,-0.11449027495145633,-0.18380592621776073,-0.2884281003730399
169.0,9.0,5.0,7.321054743905581,0.27297172915113954,2.0,-0.1552647294986045,-0.09829500367477188,-0.16875168694635884,-0.30834257127309056
170.0,7.0,4.5,6.508758321506474,0.6414532877181988,2.0,-0.1334728847999699,-0.06805445234482935,-0.16221058616063036,-0.3234726440223864
171.0,8.0,4.0,6.701507946446894,0.2975682562985503,2.0,-0.17833654169328897,-0.10309318510397066,-0.19144141741599985,-0.3348340137921534
172.0,8.0,4.5,6.663750959706491,0.1909690463746488,2.0,-0.14569494439654385,-0.08203137765786483,-0.1526973735985791,-0.3131329708153588
173.0,8.0,4.5,7.017527702067363,0.5071355244749909,2.0,-0.15997007722887951,-0.09520350898272105,-0.18010412248063634,-0.31307346940262154
174.0,8.0,5.0,7.045597301209947,0.3118146880390662,2.0,-0.13348831248427098,-0.07060151465233569,-0.15298089555617703,-0.31337743199284673
175.0,9.0,4.5,7.604468826819065,0.33555633899796194,2.0,-0.1781808422515628,-0.11384135554990071,-0.17941037872207477,-0.29076093308375656
176.0,9.0,5.0,7.306703992243033,0.2506712001990017,2.0,-0.1573242654432652,-0.09616702011475102,-0.15844609835107887,-0.3062049082996369
177.0,9.0,5.0,7.87905494278533,0.5812989367232383,2.0,-0.16882018654433248,-0.10914135484191351,-0.16604105163015434,-0.2745463775538252
178.0,9.0,5.5,7.642891705272346,0.410392095949207,2.0,-0.14436664605664856,-0.08117450785030343,-0.14322053493156114,-0.2910726987131377
179.0,8.0,4.5,6.682894412339663,0.2181336935670516,2.0,-0.13683858570686774,-0.08217312446413588,-0.17540451630669476,-0.3202734153318351
180.0,8.0,4.0,6.883028326804588,0.354239316865003,2.0,-0.17816730535755573,-0.10827076240696139,-0.2113953127153268,-0.3411679306594957
181.0,8.0,4.5,7.109119694299486,0.5909104481135201,2.0,-0.15747677548031225,-0.09972204409412101,-0.1871911580212407,-0.3119766941306209
182.0,8.0,4.5,6.684993171112508,0.20238804414533543,2.0,-0.14689471868251405,-0.08261993003628627,-0.16991371766808705,-0.3286083929119239
183.0,8.0,5.0,7.039345768315734,0.3148613069419047,2.0,-0.13139007121504181,-0.06993699470119867,-0.1561847425586109,-0.3153304272922516
184.0,9.0,4.5,7.481741042664139,0.35777894806998867,2.0,-0.17373415058139213,-0.10712645200204444,-0.17968394715480346,-0.29925194801168153
185.0,9.0,5.0,7.5108728712528485,0.2538079195457504,2.0,-0.155630515235968,-0.09638826830254209,-0.159437502245349,-0.2930416079519072
186.0,9.0,5.0,7.437849182630584,0.2226436626008282,2.0,-0.15872863245835586,-0.09467743426838993,-0.159075536701924,-0.29360656001636354
187.0,9.0,5.5,7.545807324715239,0.1443285837386993,2.0,-0.13391714717524686,-0.07083181019844477,-0.13723101511492786,-0.289788624412206
188.0,10.0,5.0,8.2855506296913,0.4166524792266623,2.0,-0.17026557411532176,-0.11290962741594827,-0.1684468812787561,-0.2659022874771349
189.0,10.0,5.5,8.112182241330041,0.3024573307076648,2.0,-0.1580574025919563,-0.10360108254461452,-0.15704998895569272,-0.2793730258134097
